name,mid,weight
Madness,/m/0fq0s89,32556.0
Abhijeet Bhattacharya,/m/01wv0z3,32537.0
Al Green,/m/01364q,32406.0
Merle Haggard,/m/01ww2fs,32338.0
Bad Company,/m/01j1l95,32309.0
Boston,/m/016dxh,32262.0
Three Days Grace,/m/02rrlv,32038.0
Swedish House Mafia,/m/027rdwc,31890.0
Emeli Sandé,/m/0bby4gj,31817.0
The Muppets,/m/05335,31798.0
Kellie Pickler,/m/0b3p9c,31758.0
Jonas Brothers,/m/0cbm64,31620.0
Ross Lynch,/m/0hn95_t,31558.0
Dev Anand,/m/0239zv,31429.0
Sugarland,/m/038h5h,31421.0
Cody Simpson,/m/0bxzygh,31405.0
Justin Moore,/m/04grfr0,31294.0
Wings,/m/01jfzm6,31105.0
Brandy Norwood,/m/03f3yfj,31083.0
Steve Miller Band,/m/01kcms4,30937.0
98 Degrees,/m/01sbc4,30916.0
David Allan Coe,/m/016hzm,30755.0
Ozzy Osbourne,/m/01vtqml,30684.0
Staind,/m/079df,30664.0
Cheap Trick,/m/018gm9,30656.0
Alka Yagnik,/m/0310_t,30602.0
Josh Turner,/m/0697js,30566.0
Neil Mukesh,/m/03cfcch,30511.0
Girls' Generation,/m/02v_j9n,30362.0
Patsy Cline,/m/01ws2g5,30352.0
Art Garfunkel,/m/0jbyg,30350.0
Jake Owen,/m/0frvgg,30332.0
The Band Perry,/m/09gmh66,30309.0
Garry Sandhu,/m/0h_cvst,30217.0
Pankaj Udhas,/m/08crrf,30188.0
Kelly Rowland,/m/01vx5w7,30136.0
Gordon Lightfoot,/m/0l54r,30108.0
Sudhir Phadke,/m/05ktb6,30085.0
"Hank Williams, Jr.",/m/016j2t,30035.0
Cee Lo Green,/m/01w5jwb,30022.0
Phoenix,/m/070r4_,30010.0
Jackson Browne,/m/0136pk,29927.0
Barenaked Ladies,/m/0lvvs,29916.0
Take That,/m/020gw1,29896.0
Poison,/m/0167k3,29801.0
Angaraag Mahanta,/m/0hhsh7n,29760.0
3 Doors Down,/m/014gd9,29694.0
Cliff Richard,/m/01vzz1c,29638.0
Anthony Hamilton,/m/071pvb,29569.0
Charlie Wilson,/m/06d5y9,29540.0
Janis Joplin,/m/044k8,29534.0
Billy Currington,/m/07jfh5,29447.0
Deitrick Haddon,/m/01pyr8s,29370.0
Waylon Jennings,/m/09r8l,29352.0
Nat King Cole,/m/03h_yfh,29294.0
Blondie,/m/017lb_,29204.0
Vybz Kartel,/m/01pr5zc,29194.0
Florence and the Machine,/m/04zvkdd,29184.0
Colt Ford,/m/04gmrsb,29172.0
Norah Jones,/m/0197tq,29045.0
Hootie & the Blowfish,/m/016qbb,29017.0
Conway Twitty,/m/01wmgpv,29005.0
Randy Travis,/m/016srn,28951.0
Avenged Sevenfold,/m/041f35,28935.0
Prince Royce,/m/0ddcc_c,28888.0
Sublime,/m/0139v_,28863.0
Travis Tritt,/m/01k_r5b,28813.0
Genesis,/m/0dtd6,28765.0
Diljit Dosanjh,/m/0bwjc2c,28763.0
Black Sabbath,/m/01czx,28671.0
My Chemical Romance,/m/03r2qm,28614.0
Mario,/m/01mlfn5,28387.0
Bonobo,/m/01w58mw,28370.0
Sarah McLachlan,/m/0133x7,28237.0
Iron Maiden,/m/014_xj,28204.0
Akcent,/m/01ryrz6,28158.0
Asha Bhosle,/m/01l837,28155.0
Mary Mary,/m/01kq11t,28137.0
Frank Ocean,/m/0gmbh5m,28127.0
Sam Cooke,/m/012v95,28073.0
Chris Daughtry,/m/0b6vy1,28024.0
Paul Simon,/m/0ddkf,27889.0
LeAnn Rimes,/m/01fkxr,27877.0
Priyanka Chopra,/m/03fwln,27843.0
Frankie Valli,/m/018y4x,27801.0
Jennifer Nettles,/m/0b7tn2,27743.0
Diana Ross,/m/01wrcxr,27634.0
Billy Idol,/m/01wqpnm,27576.0
Faith Hill,/m/01wmgrf,27560.0
America,/m/0134vb,27515.0
Leona Lewis,/m/025_1vt,27466.0
Cyndi Lauper,/m/01wf86y,27282.0
Santana,/m/05crg7,27248.0
Andrea Bocelli,/m/02b25y,27078.0
Chiranjeevi,/m/02xfrd,27063.0
Soulja Boy,/m/02820z5,27023.0
Tobymac,/m/01w20rx,27021.0
The Lumineers,/m/0jt6vts,27002.0
Jim Reeves,/m/024kcn,26982.0
Avicii,/m/0bs3d41,26931.0
Manna Dey,/m/01vnd8_,26863.0
Hollywood Undead,/m/02630p_,26780.0
Duran Duran,/m/01323p,26722.0
The Jimi Hendrix Experience,/m/012vfn,26607.0
Pet Shop Boys,/m/0dm5l,26549.0
Donna Summer,/m/0136p1,26510.0
Sade,/m/0hk3_0n,26506.0
Creed,/m/016k3n,26502.0
Shyamal Mitra,/m/04n418j,26440.0
Satinder Sartaaj,/m/0c012bg,26424.0
Rahul Dev Burman,/m/01q8wk7,26406.0
James Brown,/m/0407f,26392.0
Calvin Harris,/m/0288c4g,26122.0
Rick Ross,/m/01ssf87,26093.0
Kenneth Edmonds,/m/01wwvc5,26063.0
Kylie Minogue,/m/049qx,25995.0
Brooks & Dunn,/m/01jc6f3,25972.0
Rajkumar,/m/02kgy2,25904.0
Akshay Kumar,/m/02tq2r,25900.0
Goo Goo Dolls,/m/01jmj8,25863.0
The Monkees,/m/07qnf,25811.0
Scorpions,/m/0knhk,25799.0
Don Williams,/m/062yd3,25726.0
Cake,/m/0gl0c,25663.0
"Harry Connick, Jr.",/m/03kts,25639.0
Pierce the Veil,/m/03f6ffq,25577.0
Hariharan,/m/06283p,25544.0
Daddy Yankee,/m/01wbl_r,25512.0
Wale,/m/049fb8r,25277.0
Adam Lambert,/m/07sbny7,25194.0
Smokey Robinson,/m/012_6c,25185.0
Cole Porter,/m/01jrvr6,25122.0
Karthik,/m/01wtnck,25115.0
Weezer,/m/0838y,25096.0
Otis Redding,/m/03j3ghh,24903.0
French Montana,/m/080c3gp,24668.0
Hank Williams,/m/015qh4,24630.0
Pretty Lights,/m/0dm8ysq,24582.0
The Doobie Brothers,/m/0178_w,24581.0
Michael W. Smith,/m/0147jt,24576.0
Adam Hicks,/m/0gpm7x,24493.0
Bread,/m/0147bx,24455.0
Busta Rhymes,/m/01wgxtl,24357.0
The Offspring,/m/0mgcr,24287.0
Louis Armstrong,/m/04n32,24287.0
Elvis Costello,/m/02vr7,24262.0
Roshan Prince,/m/0j7l1r9,24258.0
Sunitha Upadrashta,/m/02rjb0k,24252.0
Leonard Cohen,/m/0lccn,24163.0
Annie Lennox,/m/01k23t,24100.0
Stacy Ferguson,/m/01svw8n,24030.0
Sunidhi Chauhan,/m/0cj8kx,24000.0
Panic! at the Disco,/m/089pg7,23996.0
Paul Anka,/m/0pmgz,23961.0
MercyMe,/m/01kzk73,23760.0
Sara Evans,/m/03p9lk,23743.0
Etta James,/m/015xp4,23644.0
Electric Light Orchestra,/m/02vgh,23625.0
Aamir Khan,/m/015npr,23607.0
Dhanush,/m/0f0djh,23494.0
Beastie Boys,/m/017j6,23493.0
P-Square,/m/0c_hn2,23380.0
Radiohead,/m/09jm8,23357.0
Big Bang,/m/049g_gp,23355.0
Birdy,/m/0gh7jj5,23305.0
INXS,/m/0178kd,23271.0
Kings of Leon,/m/03g5jw,23261.0
Yuvan Shankar Raja,/m/01rwcgb,23224.0
